feature,importance_mean,importance_std,corrected_empath_label
522 (empath_negative_emotion),0.001440966166724894,0.0019821637924483868,empath_negative_emotion
446 (empath_positive_emotion),0.0013176416363546773,0.0008937067230226636,empath_positive_emotion
305 (empath_affection),0.0013135931037920156,0.0015266981579733175,empath_affection
293 (empath_positive_emotion),0.0013017589316857703,0.000694036206951108,empath_positive_emotion
166 (empath_medical_emergency),0.0010955951965719358,0.0011841658703827774,empath_medical_emergency
425 (empath_negative_emotion),0.0010825153221386886,0.0006237803871246428,empath_negative_emotion
134 (empath_medical_emergency),0.0010644526383976117,0.0003939005504187199,empath_medical_emergency
759 (empath_medical_emergency),0.0010510613383826694,0.0006153689904686718,empath_medical_emergency
300 (empath_health),0.0009893990731975554,0.0006399300132515363,empath_health
41 (empath_optimism),0.000909674124271348,0.000613144615821,empath_optimism
209 (empath_negative_emotion),0.0008274577706911923,0.0006216331549513122,empath_negative_emotion
588 (empath_health),0.0007499128008372324,0.0003494433723103417,empath_health
12 (empath_negative_emotion),0.0007467985450197833,0.0004154043719721845,empath_negative_emotion
59 (empath_achievement),0.0007243759031342778,0.00036914691789809514,empath_achievement
70 (empath_negative_emotion),0.0007218844984803019,0.0002650222551804509,empath_negative_emotion
651 (empath_negative_emotion),0.0007103617519558514,0.00029469138313139925,empath_negative_emotion
727 (empath_negative_emotion),0.0006564851263143046,0.00030526316144281556,empath_negative_emotion
105 (empath_negative_emotion),0.0006446509542080758,0.00026466044588570824,empath_negative_emotion
637 (empath_health),0.0006430938262993568,0.000546123184925614,empath_health
213 (empath_death),0.0006421595495541222,0.00031785492992063194,empath_death
655 (empath_negative_emotion),0.0006318825053565847,0.000204504669330612,empath_negative_emotion
400 (empath_health),0.0006268996960487105,0.0002631667784742726,empath_health
437 (empath_health),0.0006044770541632383,0.00023703128655965577,empath_health
482 (empath_medical_emergency),0.0005982485425283457,0.0005549267439939063,empath_medical_emergency
498 (empath_health),0.0005776944541333428,0.0005042397565294172,empath_health
